_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
4875,CA2800847,NVUSD: CARNEROS SCHOOL,NAPA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,100,,100,,1,,,,1,,#N/A,4/24/2017,NAPA,,#N/A,D1   ,Distribution Operator Level 1
4876,CA2800848,NVUSD: MT. GEORGE SCHOOL,NAPA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,100,,100,,1,,,,1,,#N/A,4/24/2017,NAPA,,#N/A,D1   ,Distribution Operator Level 1
4877,CA3103291,NYACK WATER SYSTEM,PLACER,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,450,,450,,6,,,,6,SP   ,NonTransient-NonCommunity Water System,9/12/2017,EMIGRANT GAP,,#N/A,D1   ,Distribution Operator Level 1
4878,CA5602111,NYELAND ACRES MUTUAL WATER CO,VENTURA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,2000,,,2000,,183,,,,183,SC   ,Small Community,2/12/2015,OXNARD,TD   ,Treatment or distribution operator of any grade,D2   ,Distribution Operator Level 2
4879,CA2801936,O SHAUGHNESSY WINERY,NAPA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,     ,#N/A,5/17/2017,ANGWIN,,#N/A,NR   ,Not Required
4880,CA4300808,O'CONNOR HOSPITAL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),SWP,Surface Water Purchased,,2500,,2500,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,4/15/2015,SAN JOSE,,#N/A,D1   ,Distribution Operator Level 1
4881,CA4110019,O'CONNOR TRACT CO-OPERATIVE WATER CO.,SAN MATEO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,3128,,,3128,3,,1,,341,345,SC   ,Small Community,9/12/2017,MENLO PARK,,#N/A,D1   ,Distribution Operator Level 1
4882,CA1000411,O'NEILL VINTNERS & DISTILLERS,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,90,,90,2,,,,,2,SP   ,NonTransient-NonCommunity Water System,2/22/2018,PARLIER,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4883,CA3901382,O-G PACKING CO,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,2/10/2017,STOCKTON,,#N/A,D1   ,Distribution Operator Level 1
4884,CA0900423,"O.A.R.S., INC  #70",EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,8/18/2010,,,#N/A,NR   ,Not Required
4885,CA4700593,OAK BOTTOM CG & WC,SISKIYOU,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,25,25,,12,,,,12,N1   ,Transient-Noncommunity Water System,9/12/2013,SOMES BAR,,#N/A,NR   ,Not Required
4886,CA5200628,OAK CREEK GOLF CLUB,TEHAMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,40,40,,3,,,,3,N1   ,Transient-Noncommunity Water System,10/8/2013,RED BLUFF,,#N/A,D1   ,Distribution Operator Level 1
4887,CA2000775,OAK CREEK MOBILE HOME PARK(WATER),MADERA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,370,,,370,,198,,,,198,SC   ,Small Community,3/18/2016,COARSEGOLD,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4888,CA4300603,OAK DELL PARK,SANTA CLARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,100,,,100,,53,,,,53,SC   ,Small Community,4/27/2017,MORGAN HILL,,#N/A,D1   ,Distribution Operator Level 1
4889,CA3600756,OAK GLEN CHRISTIAN CONFERENCE CENTER,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,180,180,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/2/2017,YUCAIPA,,#N/A,,#N/A
4890,CA3600185,OAK GLEN DOMESTIC WATER,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,175,,,175,,35,,,,35,SC   ,Small Community,2/7/2018,YUCAIPA,,#N/A,,#N/A
4891,CA3600133,OAK GLEN RETREAT,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,500,500,,199,,,,199,SC   ,Small Community,2/7/2018,YUCAIPA,,#N/A,,#N/A
4892,CA3601165,OAK GLEN STEAK HOUSE,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,2/7/2018,OAK GLEN,,#N/A,,#N/A
4893,CA3700035,OAK GROVE COMPLEX,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,68,68,,36,,,,36,N1   ,Transient-Noncommunity Water System,5/19/2016,WARNER SPRINGS,,#N/A,NR   ,Not Required
4894,CA1900537,OAK GROVE FAMILY PARK,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,109,,,109,,40,,,,40,SC   ,Small Community,3/21/2018,AQUA DULCE,,#N/A,D1   ,Distribution Operator Level 1
4895,CA4900703,OAK GROVE SCHOOL,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,350,,350,,7,,,,7,SP   ,NonTransient-NonCommunity Water System,11/21/2013,SEBASTOPOL,,#N/A,D1   ,Distribution Operator Level 1
4896,CA4901175,OAK GROVE SCHOOL DISTRICT OFFICE,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,26,26,,1,,,,1,N1   ,Transient-Noncommunity Water System,2/17/2016,SANTA ROSA,,#N/A,NR   ,Not Required
4897,CA3301528,OAK HAVEN ASSOCIATION,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,89,,,89,,40,,,,40,SC   ,Small Community,11/8/2016,TEMECULA,,#N/A,D1   ,Distribution Operator Level 1
4898,CA2700665,OAK HEIGHTS W & R CO INC,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,105,,,105,,35,,,,35,,#N/A,11/7/2017,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
4899,CA1000579,OAK KNOLL PROFESSIONAL CTR,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,4,,,,4,N1   ,Transient-Noncommunity Water System,8/28/2014,AUBERRY,,#N/A,D1   ,Distribution Operator Level 1
4900,CA3700276,OAK KNOLL VILLAGE,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,205,205,,53,,,,53,N1   ,Transient-Noncommunity Water System,8/4/2014,PAUMA VALLEY,,#N/A,NR   ,Not Required
4901,CA4700705,OAK KNOLL WORK CENTER,SISKIYOU,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,25,25,,8,,,,8,N1   ,Transient-Noncommunity Water System,9/12/2013,YREKA,T2   ,Treatment Operator Level 2,NR   ,Not Required
4902,CA1500465,OAK KNOLLS MUTUAL WATER COMPANY,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,73,,50,123,,0,,,47,47,SC   ,Small Community,9/26/2017,WOFFORD HEIGHTS,,#N/A,D1   ,Distribution Operator Level 1
4903,CA2700509,OAK MANOR WS,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,71,,,71,,33,,,,33,SC   ,Small Community,8/25/2017,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
4904,CA2207006,OAK PARK ESTATES,MARIPOSA,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,7,,,7,,,,,13,13,XS   ,State Small Water System,11/18/2015,CATHEYS VALLEY,,#N/A,NR   ,Not Required
4905,CA5610043,OAK PARK WATER SERVICE,VENTURA,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,12200,,,12200,,4591,,,,4591,C1   ,Large Water System,12/17/2014,OAK PARK,,#N/A,D4   ,Distribution Operator Level 4
4906,CA2700999,OAK PARK WS,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,29,29,,1,,,,1,,#N/A,7/11/2017,GREENFIELD,,#N/A,NR   ,Not Required
4907,CA3901197,"OAK RIDGE WINERY, LLC",SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,8,,,,8,SP   ,NonTransient-NonCommunity Water System,2/18/2014,LODI,,#N/A,D1   ,Distribution Operator Level 1
4908,CA4500190,OAK RUN ELEMENTARY SCHOOL,SHASTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,97,,97,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,12/17/2013,OAK RUN,,#N/A,D1   ,Distribution Operator Level 1
4909,CA4200881,OAK TRAIL ESTATES MWC,SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,210,,,210,,63,,,,63,,#N/A,6/28/2013,SANTA YNEZ,,#N/A,D1   ,Distribution Operator Level 1
4910,CA4200802,OAK TRAIL RANCH MUTUAL WATER,SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,105,,,105,,31,,,,31,,#N/A,6/28/2013,SANTA YNEZ,,#N/A,D1   ,Distribution Operator Level 1
4911,CA3600032,OAK TREE VILLAGE,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,500,500,,13,,,,13,N1   ,Transient-Noncommunity Water System,6/20/2017,YUCAIPA,,#N/A,,#N/A
4912,CA4700638,OAK VALLEY ACRES P.O.A.,SISKIYOU,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,80,,,80,,26,,,,26,SC   ,Small Community,9/14/2015,YREKA,,#N/A,D1   ,Distribution Operator Level 1
4913,CA5400713,OAK VALLEY SCHOOL,TULARE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,600,,600,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,8/2/2017,TULARE,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4914,CA1000497,OAK VIEW TERRACE,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,9,,,,9,N1   ,Transient-Noncommunity Water System,1/21/2015,AUBERRY,,#N/A,D1   ,Distribution Operator Level 1
4915,CA3900846,OAK VIEW UNION ELEMENTARY SCH,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,350,,350,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,2/24/2014,ACAMPO,,#N/A,D1   ,Distribution Operator Level 1
4916,CA5000503,OAKDALE CHEESE & SPECIALTIES,STANISLAUS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,3/18/2013,OAKDALE,,#N/A,NR   ,Not Required
4917,CA5000091,OAKDALE GOLF & COUNTRY CLUB (EH),STANISLAUS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,11/17/2015,OAKDALE,,#N/A,NR   ,Not Required
4918,CA5010014,"OAKDALE, CITY OF",STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,22348,,,22348,,7749,,,,7749,C1   ,Large Water System,11/30/2016,OAKDALE,,#N/A,D3   ,Distribution Operator Level 3
4919,CA0500105,"OAKENDELL, INC.",CALAVERAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,3,,,,3,N1   ,Transient-Noncommunity Water System,9/14/2016,SAN ANDREAS,,#N/A,NR   ,Not Required
4920,CA2000821,OAKHURST CHRISTIAN CONF CENTER,MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,,280,280,,8,,,,8,N1   ,Transient-Noncommunity Water System,8/27/2015,COARSEGOLD,,#N/A,NR   ,Not Required
4921,CA2000684,OAKHURST ELKS LODGE 2724,MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,,300,300,,1,,,,1,N1   ,Transient-Noncommunity Water System,2/19/2016,OAKHURST,,#N/A,NR   ,Not Required
4922,CA2000593,OAKHURST MOBILE HOME ESTATES,MADERA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,114,,,114,,114,,,,114,,#N/A,3/17/2016,OAKHURST,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4923,CA3200019,OAKLAND FEATHER RIVER CAMP,PLUMAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,300,300,,1,,,,1,N1   ,Transient-Noncommunity Water System,11/27/2012,QUINCY,T1   ,Treatment Operator Level 1,,#N/A
4924,CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",EL DORADO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,35,,,,35,SC   ,Small Community,6/4/2016,SHINGLE SPRINGS,,#N/A,NR   ,Not Required
4925,CA0706004,OAKLEY MUTUAL WATER COMPANY,CONTRA COSTA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,170,,,170,,49,,,,49,SC   ,Small Community,2/21/2017,OAKLEY,,#N/A,,#N/A
4926,CA4300526,OAKMONT WATER SYSTEM,SANTA CLARA,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,63,,,63,,,,,25,25,SC   ,Small Community,8/4/2015,LOS GATOS,,#N/A,D1   ,Distribution Operator Level 1
4927,CA3901411,OAKMOORE CONGRE OF JEHOVAH WIT,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,11/24/2014,STOCKTON,,#N/A,NR   ,Not Required
4928,CA3705065,OAKOASIS OPEN SPACE PRESERVE,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,25,25,,4,,,,4,N1   ,Transient-Noncommunity Water System,1/18/2013,LAKESIDE,,#N/A,NR   ,Not Required
4929,CA3700962,OAKVALE PARK,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,100,,,100,,125,,,,125,SC   ,Small Community,7/10/2014,ESCONDIDO,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4930,CA2801052,OAKVILLE GRADE WINERY,NAPA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,     ,#N/A,3/27/2018,OAKVILLE,,#N/A,NR   ,Not Required
4931,CA3910023,OAKWOOD LAKE WATER DISTRICT-SUBDIVISION,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,891,,,891,,274,,,,274,SC   ,Small Community,2/1/2017,MANTECA,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4932,CA2701000,OASIS CAFE WS,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,29,29,,3,,,,3,N1   ,Transient-Noncommunity Water System,1/13/2015,SOLEDAD,,#N/A,NR   ,Not Required
4933,CA3301373,OASIS DATE GARDENS,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,28,,28,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,3/16/2016,THERMAL,,#N/A,D1   ,Distribution Operator Level 1
4934,CA3303100,OASIS GARDENS WATER CO.,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,314,,,314,,160,,,,160,SC   ,Small Community,6/13/2018,THERMAL,,#N/A,D1   ,Distribution Operator Level 1
4935,CA5000263,OASIS INVESTMENTS,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,31,,,,31,SC   ,Small Community,12/3/2015,MODESTO,,#N/A,D1   ,Distribution Operator Level 1
4936,CA3900998,OASIS MARINA-RESORT,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,7,,,,7,N1   ,Transient-Noncommunity Water System,8/26/2016,TRACY,,#N/A,NR   ,Not Required
4937,CA5000525,OASIS MARKET,STANISLAUS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/14/2014,CROWS LANDING,,#N/A,NR   ,Not Required
4938,CA3901482,OASIS MARKET & PRODUCE,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/4/2017,MANTECA,,#N/A,NR   ,Not Required
4939,CA3303002,OASIS PALMS RV RESORT,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,80,80,,55,,,,55,N1   ,Transient-Noncommunity Water System,3/30/2015,OASIS,,#N/A,NR   ,Not Required
4940,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,100,,,100,,39,,,,39,SC   ,Small Community,5/22/2017,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
4941,CA2702802,OASIS RD WS #2,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,2,,,,2,,#N/A,8/18/2017,KING CITY,,#N/A,D1   ,Distribution Operator Level 1
4942,CA4901141,OCCIDENTAL ARTS & ECOLOGY CENTER,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,26,26,,12,,,,12,N1   ,Transient-Noncommunity Water System,12/10/1999,OCCIDENTAL,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4943,CA4900536,OCCIDENTAL COMMUNITY SERVICES DISTRICT,SONOMA,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,277,,,277,,100,,,,100,SC   ,Small Community,7/13/2016,OCCIDENTAL,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4944,CA4901196,OCEAN COVE LODGE - BAR & GRILL,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,2,,,,2,N1   ,Transient-Noncommunity Water System,10/8/2002,JENNER,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4945,CA1200772,OCEAN GROVE LODGE,HUMBOLDT,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,3,,50,53,,12,,,,12,N1   ,Transient-Noncommunity Water System,3/18/2015,TRINIDAD,T2   ,Treatment Operator Level 2,NR   ,Not Required
4946,CA2300634,OCEAN'S EDGE ESTATES,MENDOCINO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,250,,,250,,71,,,,71,SC   ,Small Community,8/10/2016,FORT BRAGG,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4947,CA4010005,OCEANO COMM SERVICES DIST.,SAN LUIS OBISPO,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,7530,,,7530,,2175,,,,2175,DAVCL,Disadvantaged Large Community Water System,2/21/2017,OCEANO,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
4948,CA3710014,"OCEANSIDE, CITY OF",SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,175948,,,175948,1622,,1653,12,40571,43858,C1   ,Large Water System,12/7/2016,OCEANSIDE,T5   ,Treatment Operator Level 5,D5   ,Distribution Operator Level 5
4949,CA1300683,OCOTILLO CHEVRON STATION,IMPERIAL,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,35,35,,1,,,,1,,#N/A,4/4/2016,,,#N/A,,#N/A
4950,CA1300513,OCOTILLO MUTUAL WATER CO,IMPERIAL,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,150,,,150,,113,,,,113,SC   ,Small Community,12/8/2017,OCOTILLO,,#N/A,D1   ,Distribution Operator Level 1
4951,CA3700291,OCOTILLO OASIS MOBILE HOME PARK,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,100,,,100,,55,,,,55,SC   ,Small Community,3/26/2014,BORREGO SPRINGS,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4952,CA3710319,OCOTILLO WELLS - HOLMES CAMP,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,11/17/2016,BORREGO SPRINGS,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4953,CA3701882,OCOTILLO WELLS RV PARK & STORE,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,80,,,,80,N1   ,Transient-Noncommunity Water System,11/22/2013,BORREGO SPRINGS,,#N/A,NR   ,Not Required
4954,CA3710301,OCOTILLO WELLS SMVRA - HQ,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,85,85,,24,,,,24,N1   ,Transient-Noncommunity Water System,11/17/2016,BORREGO SPRINGS,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4955,CA4910026,ODD FELLOWS RECREATION CLUB,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,80,,,80,,259,,,,259,SC   ,Small Community,6/23/2016,GUERNEVILLE,,#N/A,D1   ,Distribution Operator Level 1
4956,CA2803697,ODETTE WATER SYSTEM,NAPA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/31/2017,NAPA,,#N/A,NR   ,Not Required
4957,CA4901314,ODIYAN BUDDHIST RETREAT CENTER,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,35,,35,,8,,,,8,SP   ,NonTransient-NonCommunity Water System,5/18/2016,CAZADERO,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4958,CA5000015,OID #22 - WILLIAMS TRACT,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,150,,,150,,53,,,,53,SC   ,Small Community,4/2/2014,OAKDALE,,#N/A,D1   ,Distribution Operator Level 1
4959,CA5000016,OID #41 - MOUNTAIN VIEW,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,147,,,147,,42,,,,42,SC   ,Small Community,4/2/2014,OAKDALE,,#N/A,D1   ,Distribution Operator Level 1
4960,CA5000013,OID #45,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,144,,,144,,,,,51,51,SC   ,Small Community,6/21/2017,OAKDALE,,#N/A,D1   ,Distribution Operator Level 1
4961,CA5000014,OID #46 - SUNSET OAKS,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,269,,,269,,77,,,,77,SC   ,Small Community,6/21/2017,OAKDALE,,#N/A,D1   ,Distribution Operator Level 1
4962,CA5000317,OID #51 - SUNSET OAKS #10,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,287,,,287,,82,,,,82,SC   ,Small Community,6/21/2017,OAKDALE,,#N/A,D1   ,Distribution Operator Level 1
4963,CA5000433,OID-OAKDALE RURAL WATER SYSTEM #1,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,1134,,,1134,,476,,,,476,SC   ,Small Community,4/18/2017,OAKDALE,,#N/A,D2   ,Distribution Operator Level 2
4964,CA1510015,OILDALE MWC,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,34133,,,34133,,9863,,,,9863,C1   ,Large Water System,7/1/2015,OILDALE,,#N/A,D3   ,Distribution Operator Level 3
4965,CA5610014,OJAI WATER SYSTEM,VENTURA,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,7679,,,7679,,2901,,,,2901,C1   ,Large Water System,2/11/2015,OAK VIEW,T2   ,Treatment Operator Level 2,D3   ,Distribution Operator Level 3
4966,CA0300043,OK CORRAL,AMADOR,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,7,,,,7,,#N/A,1/18/2017,PIONEER,,#N/A,NR   ,Not Required
